"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SSCI-101","Workshop in Spatial Analysis","","2.0 units","Lecture","35688R","395","4:00-6:20pm","Monday","20","0","0","Darren Ruddell",""
"SSCI-265Lg","The Water Planet","","4.0 units","Lecture","35700R","001","11:00-12:20pm","Tue, Thu","120","120","0","John Wilson, Daniel Warshawsky","THH102"
"","","","","Lab","35701R","001","12:00-1:50pm","Monday","20","20","0","Elisabeth Sedano","AHF B57A"
"","","","","Lab","35702R","001","2:00-3:50pm","Thursday","20","20","0","Elisabeth Sedano","AHF B57A"
"","","","","Lab","35704R","001","2:00-3:50pm","Tuesday","20","18","0","Elisabeth Sedano","AHF B57A"
"","","","","Lab","35706R","001","4:00-5:50pm","Wednesday","21","20","0","Elisabeth Sedano","AHF B57A"
"","","","","Lab","35707R","001","10:00-11:50am","Monday","22","21","0","Elisabeth Sedano","AHF B57A"
"","","","","Lab","35708R","001","10:00-11:50am","Wednesday","22","21","0","Elisabeth Sedano","AHF B57A"
"SSCI-301L","Maps and Spatial Reasoning","","4.0 units","Lecture","35712R","001","2:00-3:20pm","Mon, Wed","20","16","0","Darren Ruddell","AHF B57A"
"","","","","Lab","35713R","001","12:00-1:50pm","Wednesday","20","16","0","Darren Ruddell","AHF B57A"
"SSCI-581","Concepts for Spatial Thinking","","4.0 units","Lecture","35744D","705","TBA","TBA","20","16","0","Katsuhiko Oda","ONLINE"
"","","","","Lecture","35745D","705","TBA","TBA","20","11","0","Su Lee","ONLINE"
"","","","","Lecture","35746D","705","TBA","TBA","20","15","0","Daniel Warshawsky","ONLINE"
"SSCI-582","Spatial Databases","","4.0 units","Lecture","35750D","705","TBA","TBA","20","13","0","Jordan Hastings","ONLINE"
"","","","","Lecture","35751D","705","TBA","TBA","20","13","0","Jordan Hastings","ONLINE"
"","","","","Lecture","35752D","705","TBA","TBA","20","10","0","Jordan Hastings","ONLINE"
"SSCI-583","Spatial Analysis","","4.0 units","Lecture","35753D","705","TBA","TBA","20","12","0","Karen Kemp","TBA"
"","","","","Lecture","35754D","705","TBA","TBA","20","10","0","Karen Kemp","ONLINE"
"SSCI-585","Geospatial Technology Project Management","","4.0 units","Lecture","35757D","705","TBA","TBA","20","6","0","Robert Vos","ONLINE"
"SSCI-586","GIS Programming and Customization","","4.0 units","Lecture","35759D","705","TBA","TBA","20","12","0","Jennifer Swift","ONLINE"
"","","","","Lecture","35760D","705","TBA","TBA","20","0","0","","TBA"
"SSCI-587","Spatial Data Acquisition","","4.0 units","Lecture","35761D","705","TBA","TBA","20","14","0","Darren Ruddell","ONLINE"
"","","","","Lecture","35762D","705","TBA","TBA","20","13","0","Su Lee","ONLINE"
"SSCI-588","Remote Sensing for GIS","","4.0 units","Lecture","35764D","705","TBA","TBA","20","9","0","Darren Ruddell","ONLINE"
"SSCI-589","Cartography and Visualization","","4.0 units","Lecture","35766D","705","TBA","TBA","20","17","0","Katsuhiko Oda","ONLINE"
"SSCI-591","Web GIS","","4.0 units","Lecture","35770D","705","TBA","TBA","20","6","0","Jennifer Swift","ONLINE"
"SSCI-594a","Master's Thesis","","2.0 units","Lecture","35775D","705","TBA","TBA","10","5","0","Karen Kemp","ONLINE"
"","","","","Lecture","35776D","705","TBA","TBA","10","4","0","Karen Kemp","ONLINE"
"","","","","Lecture","35777D","705","TBA","TBA","10","6","0","Daniel Warshawsky","ONLINE"
"","","","","Lecture","35778D","705","TBA","TBA","10","5","0","Daniel Warshawsky","ONLINE"
"SSCI-594b","Master's Thesis","P","2.0 units","Lecture","35780D","705","TBA","TBA","20","12","0","John Wilson","ONLINE"
"SSCI-594z","Master's Thesis","P","0.0 units","Lecture","35782D","705","TBA","TBA","75","50","0","John Wilson","ONLINE"
