"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SWMS-140g","Contemporary Moral and Social Issues","","4.0 units","Lecture","49314R","001","2:00-3:15pm","Mon, Wed","148","145","0","Jacob Ross","THH202"
"","","","","Discussion","49316R","001","11:00-11:50am","Wednesday","26","26","0","Tatyana Kostochka","MHP102"
"","","","","Discussion","49318R","001","10:00-10:50am","Wednesday","24","23","0","Tatyana Kostochka","VPD107"
"","","","","Discussion","49319R","001","10:00-10:50am","Thursday","25","25","0","Matthew Leonard","VKC158"
"","","","","Discussion","49320R","001","9:00-9:50am","Thursday","25","24","0","Matthew Leonard","VKC158"
"","","","","Discussion","49321R","001","11:00-11:50am","Tuesday","24","24","0","Matthew Lutz","VPD107"
"","","","","Discussion","49322R","001","10:00-10:50am","Tuesday","24","23","0","Matthew Lutz","VKC158"
"SWMS-215g","Gender Conflict in Cultural Contexts","","4.0 units","Lecture","34913R","001","12:00-1:50pm","Mon, Wed","150","148","0","Sherry Velasco","SGM101"
"","","","","Discussion","34914R","001","4:00-4:50pm","Monday","25","25","0","","THH108"
"","","","","Discussion","34916R","001","5:00-5:50pm","Monday","25","24","0","","THH108"
"","","","","Discussion","34917R","001","4:00-4:50pm","Tuesday","25","25","0","","THH214"
"","","","","Discussion","34918R","001","5:00-5:50pm","Tuesday","25","24","0","","THH214"
"","","","","Discussion","34920R","001","4:00-4:50pm","Wednesday","25","25","0","","THH108"
"","","","","Discussion","34921R","001","5:00-5:50pm","Wednesday","25","25","0","","THH108"
"SWMS-301m","Introduction to Feminist Theory and the Women's and Men's Movements","","4.0 units","Lecture","34919D","001","2:00-4:50pm","Wednesday","25","24","0","Diana Blaine","VKC252"
"SWMS-303","From Goddesses to Witches: Women in Premodern Europe","","4.0 units","Lecture","37121D","001","11:00-12:20pm","Tue, Thu","25","12","0","Lisa Bitel","THH119"
"SWMS-305","Childhood, Birth and Reproduction","","4.0 units","Lecture","10662R","001","9:30-10:50am","Tue, Thu","25","18","0","Erin Moore","GFS228"
"SWMS-311","Gender Studies and the Community: Internship","","4.0 units","Lecture","34923D","001","TBA","TBA","10","4","0","Sheila Briggs","OFFICE"
"SWMS-316","Gender and Global Issues","","4.0 units","Lecture","37803R","001","5:00-6:20pm","Mon, Wed","49","48","0","Jessica Peet","VKC102"
"SWMS-355","Transgender Studies","","4.0 units","Lecture","34935R","001","2:00-4:50pm","Tuesday","20","19","0","Christopher Freeman","VPD107"
"SWMS-358","U.S. Gay and Lesbian History","","4.0 units","Lecture","34938D","001","2:00-3:20pm","Mon, Wed","20","8","0","Allison Miller","WPH206"
"SWMS-370","Family and Kinship in Cross-Cultural Perspective","","4.0 units","Lecture","10680R","001","12:30-1:50pm","Tue, Thu","25","20","0","Erin Moore","GFS222"
"SWMS-374gm","Women Writers in Europe and America","","4.0 units","Lecture","22040D","001","10:00-11:50am","Mon, Wed","85","83","0","Margaret Rosenthal","THH202"
"","","","","Discussion","22041R","001","9:00-9:50am","Tuesday","25","19","0","Arunima Paul","VKC256"
"","","","","Discussion","22042R","001","10:00-10:50am","Tuesday","25","25","0","Arunima Paul","VKC256"
"","","","","Discussion","22043R","001","9:00-9:50am","Thursday","25","16","0","Yu-Kai Lin","VKC256"
"","","","","Discussion","22044R","001","10:00-10:50am","Thursday","25","23","0","Yu-Kai Lin","VKC256"
"SWMS-377","The Image of the Journalist in Popular Culture","","4.0 units","Lecture","21208D","001","2:00-5:20pm","Tuesday","24","16","0","Joe Saltzman","ASC240"
"SWMS-382","Political Theories and Social Reform","","2.0-4.0 units","Lecture","52070R","001","10:00-11:50am","Mon, Wed","50","50","0","Anthony Kammas","VKC102"
"SWMS-384m","Gender, Social Inequality, and Social Justice","","4.0 units","Lecture","34943R","001","9:30-10:50am","Tue, Thu","30","15","0","Joseph Hawkins","THH215"
"SWMS-410","Senior Seminar in Gender Studies","","4.0 units","Lecture","34951D","001","2:00-4:50pm","Thursday","15","9","0","Karina Eileraas","THH B9"
"SWMS-412","Gender, Sexuality and Media","","4.0 units, max 8"
"","Queering of Cinematic Arts","","4.0","Lecture","18197D","001","2:00-5:50pm","Tuesday","21","18","0","Kara Keeling","SCA258"
"SWMS-430","Gender and Sexuality in Korean Literature and Culture","","4.0 units","Lecture","25304R","001","2:00-4:50pm","Thursday","20","14","0","Seung-Ah Lee","VKC155"
"SWMS-434m","Women and Aging: Psychological, Social, and Political Implications","","4.0 units","Lecture","36245R","001","10:00-11:50am","Tue, Thu","16","10","0","Morgan Levine","HED103"
"SWMS-442m","Women's Spaces in History: 'Hussies,' 'Harems,' and 'Housewi","","4.0 units","Lecture","11256R","001","12:30-3:20pm","Tuesday","25","22","0","Diane Ghirardo","WAH212"
"SWMS-465m","Gender in Media Industries and Products","","4.0 units","Lecture","20680D","001","2:00-3:20pm","Tue, Thu","18","18","0","Alison Trope","ANN309"
"SWMS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34967D","001","TBA","TBA","10","1","0","Sheila Briggs","OFFICE"
"SWMS-530","Sociology of Gender and Sexuality","C","4.0 units","Lecture","61588D","001","10:00-12:50pm","Thursday","10","7","0","Katie Hasson","HSH303"
"SWMS-552","Sex and Gender in Society","","4.0 units","Lecture","61565D","001","10:00-12:50pm","Thursday","10","0","0","",""
"SWMS-553","Race, Gender and Sexuality","","4.0 units","Lecture","10460D","001","2:00-4:50pm","Wednesday","12","11","0","Nayan Shah","THH109"
"SWMS-560","Feminist Theory","","4.0 units","Lecture","34980R","001","2:00-4:50pm","Monday","15","14","0","Karina Eileraas","SOS B37"
"SWMS-588","Seminar in Gay, Lesbian, Bisexual and Transgender Studies","","4.0 units","Lecture","34984R","001","2:00-4:50pm","Tuesday","10","3","0","Karen Tongson","THH219"
