"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"THTR-101","Introduction to Acting","","4.0 units","Lecture","62607D","001","8:00-9:50am","Mon, Wed","21","21","0","Mary-Joan Negro","MCC107"
"","","","","Lecture","62610R","001","6:00-7:50pm","Mon, Wed","20","11","0","Robert Adler","MCC108"
"","","","","Lecture","62600D","001","8:00-9:50am","Mon, Wed","20","10","0","John De Mita","MCC109"
"","","","","Lecture","62601D","001","12:00-1:50pm","Mon, Wed","20","19","0","Anita Dashiell-Sparks","PED206"
"","","","","Lecture","62603D","001","8:00-9:50am","Mon, Wed","20","17","0","Elizabeth Hogan","MCC112"
"","","","","Lecture","62604D","001","12:00-1:50pm","Mon, Wed","20","17","0","Jack Rowe","MCC112"
"","","","","Lecture","62605D","001","12:00-1:50pm","Mon, Wed","20","12","0","Anthony Abatemarco","MCC109"
"","","","","Lecture","62606R","001","12:30-2:20pm","Tue, Thu","20","15","0","Robert Adler","DRC120"
"","","","","Lecture","62608R","001","2:00-3:50pm","Mon, Wed","20","17","0","Randy Mell","MCC109"
"","","","","Lecture","62609D","001","3:30-5:20pm","Tue, Thu","20","0","0","Anthony Abatemarco",""
"THTR-110","Dramatic Analysis","","2.0 units","Lecture","62615D","001","2:00-3:20pm","Mon, Wed","20","16","0","Jack Rowe","PED206"
"","","","","Lecture","62616D","001","1:00-2:20pm","Tue, Thu","20","14","0","Jack Rowe","MCC106"
"THTR-115","Movement I","","2.0 units","Lecture","62620D","001","8:00-9:50am","Mon, Wed","20","16","0","Stephanie Shroyer","PED208"
"","","","","Lecture","62621D","001","2:00-3:50pm","Mon, Wed","20","14","0","Stephanie Shroyer","DRC120"
"THTR-120a","Acting I","M","2.0 units","Lecture","62625D","001","10:00-11:50am","Tue, Thu","20","16","0","Laura Flanagan","SHR105"
"","","","","Lecture","62626D","001","8:00-9:50am","Tue, Thu","20","14","0","Laura Flanagan","SHR105"
"THTR-121ax","Fundamentals of Acting","","2.0 units","Lecture","62628R","001","3:30-4:50pm","Mon, Wed","20","7","0","Anita Dashiell-Sparks","PED206"
"THTR-122","Improvisation and Theatre Games","","2.0 units, max 4","Lecture","62636R","001","6:00-7:50pm","Tuesday","20","19","0","Debra De Liso","SHR105"
"","","","","Lecture","62637R","001","4:00-5:50pm","Friday","20","16","0","Debra De Liso","MCC109"
"","","","","Lecture","62638D","001","12:00-1:50pm","Thursday","22","20","0","Julie Welch","MCC112"
"","","","","Lecture","62631D","001","2:00-3:50pm","Tuesday","27","24","0","Julie Welch","MCC107"
"","","","","Lecture","62632D","001","2:00-3:50pm","Thursday","21","20","0","Julie Welch","MCC107"
"","","","","Lecture","62633R","001","4:00-5:50pm","Tuesday","20","20","0","Julie Welch","MCC109"
"","","","","Lecture","62634R","001","2:00-3:50pm","Friday","20","13","0","Debra De Liso","MCC109"
"","","","","Lecture","62635R","001","4:00-5:50pm","Thursday","20","19","0","Robert Adler","MCC109"
