"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"USC-099x","WBB Semester At Large","M","1.0-18.0 units, max 18","Lecture","00901D","018","TBA","TBA","50","1","0","","OFFICE"
"","","","","Lecture","00903D","828","TBA","TBA","55","39","0","","OFFICE"
"USC-100","TEMPORARY ENROLLMENT/FILL COURSE.","","1.0-16.0 units","Lecture","00900R","001","TBA","TBA","500","0","0","Francisco Chang","OFFICE"
"USC-110","Consortium Enrollment (Financial Aid)","","0.0-18.0 units","Lecture","00902D","858","TBA","TBA","1","1","0","Francisco Chang","OFFICE"
"USC-160","Howard University Exchange","","12.0-18.0 units","Lecture","00385D","654","TBA","TBA","2","2","0","","OFF CAMPUS"
"USC-300","Overseas Block Enrollment","","1.0-16.0 units, max 16","Lecture","00382R","613","TBA","TBA","40","7","0","","OFFICE"
"","","","","Lecture","00383R","613","TBA","TBA","40","0","0","","OFFICE"
"","","","","Lecture","00384R","613","TBA","TBA","40","5","0","","OFFICE"
"","","","","Lecture","00400R","935","TBA","TBA","2","1","0","","OFFICE"
"","","","","Lecture","00401R","784","TBA","TBA","10","9","0","","TBA"
"","","","","Lecture","00402R","090","TBA","TBA","40","3","0","","TBA"
"","","","","Lecture","00403R","092","TBA","TBA","40","12","0","","TBA"
"","","","","Lecture","00404R","093","TBA","TBA","40","6","0","","TBA"
"","","","","Lecture","00405R","128","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00406R","132","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00407R","150","TBA","TBA","40","0","0","","TBA"
"","","","","Lecture","00408R","209","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00409R","257","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00410R","295","TBA","TBA","40","5","0","","TBA"
"","","","","Lecture","00411R","316","TBA","TBA","40","3","0","","TBA"
"","","","","Lecture","00412R","399","TBA","TBA","40","5","0","","TBA"
"","","","","Lecture","00413R","413","TBA","TBA","40","8","0","","TBA"
"","","","","Lecture","00414R","443","TBA","TBA","40","7","0","","TBA"
"","","","","Lecture","00415R","444","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00416R","472","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00417R","490","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00418R","493","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00419R","496","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00420R","632","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00421R","657","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00422R","671","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00423R","672","TBA","TBA","40","3","0","","TBA"
"","","","","Lecture","00424R","709","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00425R","720","TBA","TBA","40","5","0","","TBA"
"","","","","Lecture","00426R","721","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00427R","724","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00428R","730","TBA","TBA","40","3","0","","TBA"
"","","","","Lecture","00429R","793","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00430R","796","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00431R","801","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00432R","809","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00433R","821","TBA","TBA","40","8","0","","TBA"
"","","","","Lecture","00434R","855","TBA","TBA","40","1","0","","TBA"
"","","","","Lecture","00435R","887","TBA","TBA","40","0","0","","TBA"
"","","","","Lecture","00436R","895","TBA","TBA","40","3","0","","TBA"
"","","","","Lecture","00437R","896","TBA","TBA","40","4","0","","TBA"
"","","","","Lecture","00438R","898","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00439R","899","TBA","TBA","40","5","0","","TBA"
"","","","","Lecture","00440R","931","TBA","TBA","40","8","0","","TBA"
"","","","","Lecture","00441R","933","TBA","TBA","40","3","0","","TBA"
"","","","","Lecture","00442R","944","TBA","TBA","40","12","0","","TBA"
"","","","","Lecture","00443R","970","TBA","TBA","40","3","0","","TBA"
"","","","","Lecture","00444R","971","TBA","TBA","40","12","0","","TBA"
"","","","","Lecture","00445R","974","TBA","TBA","40","3","0","","TBA"
"","","","","Lecture","00446R","446","TBA","TBA","40","1","0","","OFF CAMPUS"
"","","","","Lecture","00447R","702","TBA","TBA","40","3","0","","OFF CAMPUS"
"","","","","Lecture","00448R","089","TBA","TBA","40","4","0","","OFFICE"
"","","","","Lecture","00475R","612","TBA","TBA","40","1","0","","OFFICE"
"","","","","Lecture","00476R","612","TBA","TBA","40","2","0","","TBA"
"","","","","Lecture","00477R","612","TBA","TBA","40","5","0","","TBA"
"USC-300o","Off-Campus Studies","","1.0-18.0 units, max 20","Lecture","05000D","294","TBA","TBA","20","1","0","","OFFICE"
"","","","","Lecture","08802D","940","TBA","TBA","15","1","0","","OFFICE"
"","","","","Lecture","08804D","788","TBA","TBA","15","7","0","","OFFICE"
"","","","","Lecture","08806D","737","TBA","TBA","15","5","0","","OFFICE"
"","","","","Lecture","08808D","245","TBA","TBA","15","3","0","","OFFICE"
"","","","","Lecture","08810D","246","TBA","TBA","15","4","0","","OFFICE"
