"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-120g","Foundations of Western Art","","4.0 units","Lecture","11805R","001","12:30-1:50pm","Tue, Thu","176","171","0","Carolyn Malone","SGM123"
"","","","","Discussion","11807R","001","9:00-9:50am","Friday","27","26","0","Karen Huang","VKC257"
"","","","","Discussion","11808R","001","10:00-10:50am","Friday","26","25","0","Karen Huang","VKC257"
"","","","","Discussion","11809R","001","11:00-11:50am","Friday","25","24","0","Catherine Besancon","VKC257"
"","","","","Discussion","11810R","001","12:00-12:50pm","Friday","25","24","0","Catherine Besancon","VKC257"
"","","","","Discussion","11811R","001","1:00-1:50pm","Friday","25","25","0","Catherine Besancon","VKC257"
"","","","","Discussion","11812R","001","2:00-2:50pm","Friday","25","24","0","Catherine Besancon","VKC257"
"","","","","Discussion","11813R","001","11:00-11:50am","Friday","25","23","0","Ambra Spinelli","VKC209"
"AMST-301g","America, the Frontier, and the New West","","4.0 units","Lecture","10408D","001","10:00-11:50am","Mon, Wed","170","175","0","Simeon Man","THH201"
"","","","","Discussion","10409R","001","10:00-10:50am","Friday","25","24","0","Jenny Hoang","VKC155"
"","","","","Discussion","10410R","001","11:00-11:50am","Friday","25","20","0","Jenny Hoang","VKC155"
"","","","","Discussion","10411R","001","12:00-12:50pm","Monday","25","24","0","Sarah Fong","VKC151"
"","","","","Discussion","10412R","001","12:00-12:50pm","Wednesday","25","23","0","Chrisshonna Nieva","VKC151"
"","","","","Discussion","10413R","001","12:00-12:50pm","Friday","25","17","0","Deborah Al-Najjar","VKC151"
"","","","","Discussion","10414R","001","1:00-1:50pm","Monday","25","23","0","Sarah Fong","VKC205"
"","","","","Discussion","10415R","001","1:00-1:50pm","Wednesday","25","24","0","Chrisshonna Nieva","VKC205"
"","","","","Discussion","10416R","001","2:00-2:50pm","Friday","25","20","0","Deborah Al-Najjar","VKC155"
"CLAS-150g","The Greeks and the West","","4.0 units","Lecture","19800R","001","12:00-1:50pm","Mon, Wed","151","147","0","Susan Lape","THH301"
"","","","","Discussion","19801R","001","10:00-10:50am","Monday","25","25","0","Robert Matera","VPD106"
"","","","","Discussion","19802R","001","11:00-11:50am","Monday","25","24","0","Robert Matera","VKC207"
"","","","","Discussion","19803R","001","10:00-10:50am","Wednesday","25","25","0","Steven Gonzalez","GFS105"
"","","","","Discussion","19804R","001","11:00-11:50am","Wednesday","25","24","0","Hannah Mason","VKC207"
"","","","","Discussion","19805R","001","10:00-10:50am","Friday","25","25","0","Hannah Mason","VKC211"
"","","","","Discussion","19806R","001","11:00-11:50am","Friday","26","24","0","Steven Gonzalez","VKC211"
"CLAS-320gm","Diversity and the Classical Western Tradition","","4.0 units","Lecture","19810D","001","11:00-12:20pm","Tue, Thu","200","197","0","Daniel Richter","THH101"
"","","","","Discussion","19811R","001","9:00-9:50am","Tuesday","25","25","0","Lucas Herchenroeder","WPH101"
"","","","","Discussion","19812R","001","9:00-9:50am","Tuesday","25","25","0","Sergio Arguello","VKC158"
"","","","","Discussion","19813R","001","9:00-9:50am","Thursday","25","25","0","Lucas Herchenroeder","WPH101"
"","","","","Discussion","19814R","001","9:00-9:50am","Thursday","25","24","0","Sergio Arguello","VKC252"
"","","","","Discussion","19815R","001","10:00-10:50am","Friday","25","25","0","Christian Lehmann","THH108"
"","","","","Discussion","19816R","001","10:00-10:50am","Friday","25","23","0","Charles Russell-Schlesinger","VKC210"
"","","","","Discussion","19817D","001","11:00-11:50am","Friday","26","25","0","Christian Lehmann","THH108"
"","","","","Discussion","19818R","001","11:00-11:50am","Friday","25","25","0","Charles Russell-Schlesinger","VKC210"
"COLT-101g","Masterpieces and Masterminds: Literature and Thought of the West","","4.0 units","Lecture","22000R","001","12:30-1:50pm","Tue, Thu","100","97","0","Vincent Farenga","WPH B27"
"","","","","Discussion","22001R","001","9:00-9:50am","Monday","25","24","0","Richard Mc Laughlin","SOS B37"
"","","","","Discussion","22002R","001","10:00-10:50am","Monday","25","25","0","Richard Mc Laughlin","SOS B37"
"","","","","Discussion","22003R","001","9:00-9:50am","Monday","25","24","0","Kristen Besinque","VKC155"
"","","","","Discussion","22004R","001","10:00-10:50am","Monday","26","24","0","Kristen Besinque","VKC155"
"COLT-374gm","Women Writers in Europe and America","","4.0 units","Lecture","22040D","001","10:00-11:50am","Mon, Wed","85","83","0","Margaret Rosenthal","THH202"
"","","","","Discussion","22041R","001","9:00-9:50am","Tuesday","25","19","0","Arunima Paul","VKC256"
"","","","","Discussion","22042R","001","10:00-10:50am","Tuesday","25","25","0","Arunima Paul","VKC256"
"","","","","Discussion","22043R","001","9:00-9:50am","Thursday","25","16","0","Yu-Kai Lin","VKC256"
"","","","","Discussion","22044R","001","10:00-10:50am","Thursday","25","23","0","Yu-Kai Lin","VKC256"
"HIST-100gm","The American Experience","","4.0 units","Lecture","37000D","001","12:00-1:50pm","Mon, Wed","150","147","0","Nathan Perl-Rosenthal","THH202"
"","","","","Discussion","37001D","001","8:00-8:50am","Friday","25","22","0","Angelica Stoddard","THH108"
"","","","","Discussion","37002D","001","8:00-8:50am","Friday","25","25","0","Jonathan Dentler","THH110"
"","","","","Discussion","37003D","001","9:00-9:50am","Friday","25","25","0","Angelica Stoddard","THH112"
"","","","","Discussion","37004D","001","9:00-9:50am","Friday","25","25","0","Jonathan Dentler","VKC209"
"","","","","Discussion","37005D","001","12:00-12:50pm","Friday","25","25","0","David Wight","THH108"
"","","","","Discussion","37006D","001","1:00-1:50pm","Friday","25","25","0","David Wight","THH108"
"HIST-102gm","Medieval People: Early Europe and its Neighbors, 400-1500","","4.0 units","Lecture","36909D","001","10:00-11:50am","Mon, Wed","100","31","0","Jason Glenn","MRF340"
"","","","","Discussion","36910D","001","8:00-8:50am","Friday","25","4","0","Jessica McNally","THH214"
"","","","","Discussion","36911D","001","8:00-8:50am","Friday","25","0","0","",""
"","","","","Discussion","36912D","001","9:00-9:50am","Friday","25","0","0","",""
"","","","","Discussion","36913D","001","9:00-9:50am","Friday","25","4","0","Jessica McNally","THH214"
"","","","","Discussion","36914D","001","12:00-12:50pm","Friday","25","10","0","Hamish Cameron","THH213"
"","","","","Discussion","36915R","001","1:00-1:50pm","Friday","25","13","0","Hamish Cameron","THH213"
"HIST-103g","The Emergence of Modern Europe","","4.0 units","Lecture","36960D","001","11:00-12:20pm","Tue, Thu","93","91","0","Lindsay O'Neill","SLH102"
"","","","","Discussion","36961R","001","8:00-8:50am","Friday","25","17","0","Ericka Swensson","VKC210"
"","","","","Discussion","36962R","001","9:00-9:50am","Friday","25","24","0","Ericka Swensson","VKC210"
"","","","","Discussion","36963R","001","10:00-10:50am","Friday","25","25","0","Ericka Swensson","WPH206"
