"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"WRIT-095x","Writing Tutorial","","1.0 unit","Lecture","66990D","001","8:00-8:50am","Monday","100","15","0","","THH216"
"","","","","Lecture","66992D","001","11:00-11:50am","Tuesday","100","6","0","","THH216"
"","","","","Lecture","66995D","001","5:00-5:50pm","Wednesday","100","16","0","","THH216"
"WRIT-120","Introduction to College Writing","","4.0 units","Lecture","64000D","001","9:00-9:50am","MWF","17","10","0","Sandra Ross","GFS107"
"","","","","Lecture","64015D","001","11:00-11:50am","MWF","15","11","0","Sandra Ross","GFS112"
"WRIT-121","Introduction to College Writing in a Second Language","","4.0 units","Lecture","64055D","001","1:00-1:50pm","MWF","17","12","0","Sandra Ross","GFS109"
"WRIT-133","College Writing for International Students","","4.0 units","Lecture","64075D","001","1:00-1:50pm","MWF","15","4","0","Amanda Hobmeier","GFS218"
"WRIT-150","Writing and Critical Reasoning--Thematic Approaches","","4.0 units"
"","Issues in Sustainability","","4.0","Lecture","64200D","001","8:30-9:50am","Mon, Wed","15","15","0","Mary Traester","VKC206"
"","Technology and Social Change","","4.0","Lecture","64205D","001","8:30-9:50am","Mon, Wed","15","15","0","Nike Nivar Ortiz","GFS202"
"","Education and Intellectual Development","","4.0","Lecture","64210D","001","8:30-9:50am","Mon, Wed","15","13","0","Amanda Hobmeier","THH203"
"","Issues in Contemporary Economics","","4.0","Lecture","64215D","001","8:30-9:50am","Mon, Wed","15","15","0","Michael Petitti","GFS109"
"","Globalization: Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64220D","001","8:00-9:20am","Tue, Thu","15","15","0","Keziah Poole","GFS228"
"","Technology and Social Change","","4.0","Lecture","64225D","001","8:00-9:20am","Tue, Thu","15","13","0","James Clements","GFS229"
"","Issues in Aesthetics","","4.0","Lecture","64230D","001","8:00-9:20am","Tue, Thu","15","15","0","Sarah Mesle","GFS204"
"","Health and Healing","","4.0","Lecture","64235D","001","8:00-9:20am","Tue, Thu","15","15","0","Nicole Darling","GFS205"
"","Education and Intellectual Development","","4.0","Lecture","64240D","001","8:00-9:20am","Tue, Thu","15","14","0","Jacqueline Sheean","GFS210"
"","Health and Healing","","4.0","Lecture","64250D","001","9:00-9:50am","MWF","15","15","0","Yvonne Puig","GFS112"
"","Issues in Aesthetics","","4.0","Lecture","64255D","001","9:00-9:50am","MWF","15","15","0","Antonio Elefano","GFS229"
"","Issues in Sustainability","","4.0","Lecture","64260D","001","9:00-9:50am","MWF","15","14","0","Scott Reding","GFS201"
"","Health and Healing","","4.0","Lecture","64265D","001","9:00-9:50am","MWF","15","14","0","Douglas Manuel II","GFS108"
"","Technology and Social Change","","4.0","Lecture","64270D","001","9:00-9:50am","MWF","15","15","0","Steven Stimach","GFS228"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64275D","001","9:00-9:50am","MWF","15","15","0","Elizabeth Durst","THH113"
"","Issues in Law and Social Justice","","4.0","Lecture","64280D","001","9:00-9:50am","MWF","15","15","0","April Davidauskis","THH115"
"","Issues in Sustainability","","4.0","Lecture","64285D","001","9:00-9:50am","MWF","15","15","0","Laurie Fisher","GFS204"
"","Technology and Social Change","","4.0","Lecture","64290D","001","9:00-9:50am","MWF","15","15","0","Catherine Theis","GFS205"
"","Health and Healing","","4.0","Lecture","64310D","001","9:30-10:50am","Tue, Thu","15","15","0","William Wyatt","SOS B45"
"","Human Values and Belief Systems","","4.0","Lecture","64315D","001","9:30-10:50am","Tue, Thu","15","14","0","Geoffrey Middlebrook","WPH106"
"","Globalization: Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64320D","001","9:30-10:50am","Tue, Thu","15","14","0","Chase Smith","GFS105"
"","Issues in Sustainability","","4.0","Lecture","64325D","001","9:30-10:50am","Tue, Thu","15","15","0","William Gorski","VKC104"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64330D","001","9:30-10:50am","Tue, Thu","15","15","0","Jessi Johnson","GFS229"
"","Education and Intellectual Development","","4.0","Lecture","64335D","001","9:30-10:50am","Tue, Thu","15","15","0","Jessica Cantiello","GFS104"
"","Technology and Social Change","","4.0","Lecture","64340D","001","9:30-10:50am","Tue, Thu","15","15","0","James Clements","GFS213"
"","Issues in Contemporary Economics","","4.0","Lecture","64345D","001","9:30-10:50am","Tue, Thu","15","14","0","Carlos Delgado","GFS220"
"","Globalization: Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64370D","001","10:00-10:50am","MWF","15","15","0","Cory Nelson","GFS112"
"","Issues in Aesthetics","","4.0","Lecture","64375D","001","10:00-10:50am","MWF","15","15","0","Mitra Parineh","GFS228"
"","Technology and Social Change","","4.0","Lecture","64380D","001","10:00-10:50am","MWF","15","15","0","Jennifer Bankard","GFS229"
"","Globalization: Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64385D","001","10:00-10:50am","MWF","15","15","0","Stacy Lettman","GFS114"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64390D","001","10:00-10:50am","MWF","15","15","0","Brianna Beehler","GFS201"
"","Education and Intellectual Development","","4.0","Lecture","64395D","001","10:00-10:50am","MWF","15","14","0","Shana Kraynak","GFS202"
"","Technology and Social Change","","4.0","Lecture","64400D","001","10:00-10:50am","MWF","15","15","0","Eric Rawson","GFS204"
